field,label,group
hx_of_bariatric_surgery,History of bariatric surgery,Prior Medical History
prior_hysterectomy,History of hysterectomy pre-procedure,Prior Medical History
prior_oophorectomy,History of oophorectomy pre-procedure,Prior Medical History
prior_prolapse,History of prolapse pre-procedure,Prior Medical History
prior_sui,History of stress urinary incontinence surgery,Prior Medical History
stress,Stress urinary incontinence symptoms pre-procedure,Prior Medical History
urge,Urge incontinence symptoms pre-procedure,Prior Medical History
mixed,Mixed urinary incontinence symptoms pre-procedure,Prior Medical History
occult,Occult stress urinary incontinence symptoms pre-procedure,Prior Medical History
severe,Severe incontinence symptoms pre-procedure,Prior Medical History
urgency,Urgency of urination symptoms pre-procedure,Prior Medical History
retention,Urinary retention symptoms pre-procedure,Prior Medical History
obstruction,Urinary obstruction symptoms pre-procedure,Prior Medical History
dribble,Post-void dribble symptoms pre-procedure,Prior Medical History
dyspareunia,Dyspareunia symptoms pre-procedure,Prior Medical History
pelvic,Pelvic organ prolapse on pre-procedure exam,Prior Medical History
enterocele,Vaginal enterocele on pre-procedure exam,Prior Medical History
hysterectomy,Vaginal prolapse after hysterectomy on pre-procedure exam,Prior Medical History
uterovaginal,Uterovaginal prolapse on pre-procedure exam,Prior Medical History
cystocele,Anterior/cystocele on pre-procedure exam,Prior Medical History
rectocele,Posterior/rectocele on pre-procedure exam,Prior Medical History
urethrocele,Urethrocele on pre-procedure exam,Prior Medical History
uterine_prolapse,Uterine prolapse on pre-procedure exam,Prior Medical History
vault_prolapse_enterocele,Vault prolapse/enterocele on pre-procedure exam,Prior Medical History
hemorrhage_or_bleeding_fro,Hemorrhage (EBL > 400 cc) intra-/post-operative complication,Primary Procedure Characteristics
need_for_blood_transfusion,Need for blood transfusion intra-/post-operative complication,Primary Procedure Characteristics
mesh_erosion_exposure,Mesh erosion/exposure intra-/post-operative complication,Primary Procedure Characteristics
organ_perforation_from_mes,Trocar injury to bladder intra-/post-operative complication,Primary Procedure Characteristics
pain_or_nerve_injury_after,Pain or nerve injury intra-/post-operative complication,Primary Procedure Characteristics
bowel_injury,Bowel injury intra-/post-operative complication,Primary Procedure Characteristics
bladder_urethral_injury,Bladder/urethral injury  intra-/post-operative complication,Primary Procedure Characteristics
urethral_fistula,Urethral fistula intra-/post-operative complication,Primary Procedure Characteristics
retropubic_hematoma,Retropubic hematoma intra-/post-operative complication,Primary Procedure Characteristics
prior_surgical_site_infect,Prior surgical site infection intra-/post-operative complication,Primary Procedure Characteristics
surgical_site_infection,Surgical site infection intra-/post-operative complication,Primary Procedure Characteristics
urethral_injury,Urethral injury intra-/post-operative complication,Primary Procedure Characteristics
vascular_injury,Vascular injury intra-/post-operative complication,Primary Procedure Characteristics
synthetic_mesh_removal,Synthetic mesh removal during surgery re-operation,Outcomes
fascia_removal,Fascia removal during surgery re-operation,Outcomes
autologous_tissue_sling,Autologous tissue sling during surgery re-operation,Outcomes
cadaveric_fascial_sling,Cadaveric fascial sling during surgery re-operation,Outcomes
burch_colposuspension_tran,"Burch colposuspension - transabdominal urethropexy, abdominal approach, trans-abdominal colposuspension during surgery re-operation",Outcomes
bulking_agents,Bulking agents during surgery re-operation,Outcomes
collagen_implant_into_the,Collagen implant into the urethra and/or bladder neck during surgery re-operation,Outcomes
urethral_suspension,Urethral suspension during surgery re-operation,Outcomes
anterior_vesicourethropexy,Anterior vesicourethropexy during surgery re-operation,Outcomes
vaginal_prolapse_repair,Vaginal prolapse repair during surgery re-operation,Outcomes
sling_combined_with_prolap,Sling combined with prolapse repair during surgery re-operation,Outcomes
abdominal_prolapse_repair,Abdominal prolapse repair during surgery re-operation,Outcomes
robotic_prolapse_repair,Robotic prolapse repair during surgery re-operation,Outcomes
