field,label,group
ATC_ACE_INHIBITORS_PLAIN,ACE inhibitors,Active Medications
ATC_ACETIC_ACID_DERIVATIVES_AND_RELATED_SUBSTANCES,Acetic acid derivatives and related substances,Active Medications
ATC_AMIDES,Amides,Active Medications
ATC_ANESTHETICS_FOR_TOPICAL_USE,Anesthetics for topical use,Active Medications
ATC_ANESTHETICS_LOCAL,Anesthetics local,Active Medications
ATC_ANGIOTENSIN_II_ANTAGONISTS_PLAIN,Angiotensin II antagonists,Active Medications
ATC_ANILIDES,Anilides,Active Medications
ATC_BENZODIAZEPINE_DERIVATIVES,Benzodiazepine derivatives,Active Medications
ATC_BENZODIAZEPINE_RELATED_DRUGS,Benzodiazepine related drugs,Active Medications
ATC_BETA_BLOCKING_AGENTS_SELECTIVE,"Beta blocking agents, selective",Active Medications
ATC_BIGUANIDES,Biguanides,Active Medications
ATC_CORTICOSTEROIDS_PLAIN,Corticosteroids,Active Medications
ATC_DIHYDROPYRIDINE_DERIVATIVES,Dihydropyridine derivatives,Active Medications
ATC_DRUGS_FOR_URINARY_FREQUENCY_AND_INCONTINENCE,Drugs for urinary frequency and incontinence,Active Medications
ATC_ELECTROLYTE_SOLUTIONS,Electrolyte solutions,Active Medications
ATC_FIRST_GENERATION_CEPHALOSPORINS,First generation cephalosporins,Active Medications
ATC_FLUOROQUINOLONES,Fluoroquinolones,Active Medications
ATC_GLUCOCORTICOIDS,Glucocorticoids,Active Medications
ATC_H2_RECEPTOR_ANTAGONISTS,H2 receptor antagonists,Active Medications
ATC_HMG_COA_REDUCTASE_INHIBITORS,HMG-CoA reductase inhibitors (statins),Active Medications
ATC_INTERMEDIATE_ACTING_SULFONAMIDES,Intermediate-acting sulfonamides,Active Medications
ATC_NATURAL_AND_SEMISYNTHETIC_ESTROGENS_PLAIN,"Natural and semisynthetic estrogens, plain",Active Medications
ATC_NATURAL_OPIUM_ALKALOIDS,Natural opium alkaloids,Active Medications
ATC_NITROFURAN_DERIVATIVES,Nitrofuran derivatives,Active Medications
ATC_NON_SELECTIVE_MONOAMINE_REUPTAKE_INHIBITORS,Non-selective monoamine reuptake inhibitors,Active Medications
ATC_OPIOID_ANESTHETICS,Opioid anesthetics,Active Medications
ATC_OPIUM_ALKALOIDS_AND_DERIVATIVES,Opium alkaloids and derivatives,Active Medications
ATC_OTHER_ANTIDEPRESSANTS,Antidepressants,Active Medications
ATC_OTHER_ANTIEPILEPTICS,Antiepileptics,Active Medications
ATC_OTHER_ANTIHISTAMINES_FOR_SYSTEMIC_USE,Antihistamines for systemic use,Active Medications
ATC_OTHER_CENTRALLY_ACTING_AGENTS,Centrally acting agents,Active Medications
ATC_OTHER_GENERAL_ANESTHETICS,General anesthetics,Active Medications
ATC_OTHER_PLAIN_VITAMIN_PREPARATIONS,Vitamin preparations,Active Medications
ATC_OTHER_QUATERNARY_AMMONIUM_COMPOUNDS,Quarternary ammonium compounds,Active Medications
ATC_OTHER_UROLOGICALS,Urologicals,Active Medications
ATC_PENICILLINS_WITH_EXTENDED_SPECTRUM,Penicillins with extended spectrum,Active Medications
ATC_PHENOTHIAZINE_DERIVATIVES,Pheothiazine derivatives,Active Medications
ATC_PHENYLPIPERIDINE_DERIVATIVES,Phenylpiperidine derivatives,Active Medications
ATC_PIPERAZINE_DERIVATIVES,Piperazine derivatives,Active Medications
ATC_PROPIONIC_ACID_DERIVATIVES,Propionic acid derivatives,Active Medications
